EdgeIndex;SourceNode;TargetNode;Length (m);FreeFlowTime (hr);Capacity (veh/hr)
1;1;2;6022.5;0.0624245031754018;6659
2;1;12;2579.1;0.0329661338976311;3582
3;1;13;12951;0.135209309132247;5752
4;2;1;5919.9;0.061259906435539;6728
5;2;3;5319.6;0.054820168957518;5921
6;3;2;5074.4;0.0525322969417245;5558.5
7;3;4;2605;0.0257435060743887;6581
8;3;44;8185.8;0.0802627988724108;4036.5
9;4;3;2718.2;0.0272436830558494;6234.5
10;4;5;4809.7;0.0482894085361772;6627.5
11;5;4;4744;0.0467680111672218;5980
12;5;6;3183.8;0.0316888961817678;6462
13;6;5;3205.6;0.0314906463581065;5861.5
14;6;7;2907.5;0.0285085276089494;5837.5
15;7;6;3121.8;0.0304195634521064;5423.5
16;7;8;4272.7;0.0379342728617934;6359.5
17;7;45;16238.3;0.138479747856161;5768.5
18;8;7;4456.5;0.0392306687859151;5942
19;8;9;3778.2;0.0324684951094189;5501
20;9;8;3802.1;0.0327655834863396;5072
21;9;10;5792.7;0.0512803940613416;5250
22;10;9;5788.6;0.0498339758994655;4934
23;10;11;6079.7;0.0561202669750435;3836.5
24;11;10;6080.6;0.0526878437621098;3894
25;11;12;1643.9;0.0157523531337587;3586
26;12;1;2299.5;0.021697416940512;4267
27;12;11;1644.8;0.0150178389976666;4191
28;13;1;12926.9;0.13751770095436;5290.5
29;13;14;81828.3;0.737879386838524;4815.5
30;14;13;81879.3;0.755130643396974;4381.5
31;14;15;3307.4;0.0299910817581072;7964
32;14;16;7462.3;0.0636115880999062;4500
33;15;14;3714.6;0.0351223556016058;6370
34;16;14;6985.1;0.0596664189418049;4740.5
35;16;23;4930.6;0.0449285343363446;6154
36;17;18;6068.4;0.0570708489936349;3566
37;18;17;5904.5;0.0558899807137871;2963
38;18;19;2764.2;0.0285818351019142;6761
39;18;25;3853.1;0.0375618324083464;5387
40;19;18;1927.4;0.0192806505474719;5818.5
41;19;20;6435.3;0.0632135256179202;7049
42;20;19;6484.1;0.0642664198370407;6978.5
43;20;21;6621.6;0.0594800690044293;5545
44;20;26;7283.4;0.0618286195597227;5780.5
45;21;20;6883.2;0.0609713156425689;5613
46;21;22;2903.3;0.0272182599580986;6010
47;22;21;2691.4;0.0246454257981808;6319
48;22;23;4265.1;0.0410142544583263;6353
49;23;16;4860.4;0.0433331986091711;6418.5
50;23;22;4401.3;0.0415312013441202;6141.5
51;23;24;2219.1;0.0201008080082478;4394.5
52;24;23;1923.4;0.0173003474389308;4516
53;24;25;7259.4;0.0643805071407236;5864.5
54;25;18;3893.8;0.0389960559585881;5148.5
55;25;24;7240.9;0.0632206324899661;5480.5
56;26;20;7282.4;0.0629010298963865;5791
57;26;27;10904.9;0.0995029343782742;4837
58;27;26;10858.2;0.100058035472666;5140
59;27;28;18986.4;0.169501098619212;4658
60;28;27;19068.2;0.179021948703505;4889.5
61;28;29;9643.3;0.0959269720543191;6563
62;29;28;10307.7;0.101015328211026;6316.5
63;29;30;8353.1;0.0792577984589292;5790.5
64;30;29;7965;0.0784677981546873;5359
65;30;31;2211;0.019575506495902;4167
66;30;35;7860.7;0.0722204625950341;5666
67;30;36;9585.9;0.0858196891057703;6684
68;31;30;1577.6;0.0146632508525098;4457
69;31;32;11783.6;0.101854687758301;4488
70;32;31;10704.4;0.0928504670253547;4628.5
71;32;33;7072.5;0.0611531905838159;3624
72;33;32;8057.4;0.0696845915179295;3389
73;33;34;4801.3;0.0419452495886701;3923.5
74;34;33;5119.9;0.0442327763338829;3607
75;34;35;5994.6;0.0540420624452202;4397.5
76;35;30;7606.4;0.0714331437843323;5205.5
77;35;34;5888.4;0.0530730268366143;4983.5
78;36;30;9817;0.0873803503326861;6598.5
79;36;37;11302.3;0.101133348694145;5269.5
80;37;36;11303.9;0.0981304128576424;5230
81;37;38;10121.5;0.0911662749442681;5491
82;38;37;10385.1;0.0918648836283577;5580
83;38;39;13248.6;0.121757212604395;5444.5
84;39;38;12633.8;0.115650556336757;5565
85;39;40;15720.5;0.141556720831723;5038
86;40;39;15666.3;0.138591678578669;5853
87;40;41;21230.4;0.191237015839138;5885
88;41;40;20994.4;0.184350918245713;6362.5
89;41;42;17695;0.158368480202517;6621
90;42;41;17739.7;0.160509172891305;6950.5
91;42;43;22667.7;0.20851304717773;2777
92;42;49;6016.7;0.0550132262193821;5105
93;43;42;22094.9;0.199437563957621;2981
94;43;44;10739.7;0.0991463852015402;3109
95;44;3;8224.2;0.0770658550631837;3676.5
96;44;43;10694.9;0.0968295577578174;3352
97;45;7;15947.9;0.142813619959702;5625
98;45;46;16172.7;0.135243878790694;4362
99;46;45;16131.7;0.13875473003646;4690
100;46;47;43016.3;0.374145514443102;3995.5
101;47;46;43021.9;0.367672822631714;4534.5
102;47;48;36610.2;0.320808547603762;4624.5
103;48;47;36785.3;0.324578839436123;4652
104;48;70;6315.5;0.0543476618303271;7026
105;49;42;5872.2;0.0521802210252268;5260
106;49;50;15549;0.138899680494692;4783
107;50;49;15884.5;0.140405045813049;4925.5
108;50;51;21539.3;0.190424235125392;3892.5
109;51;50;21535.6;0.188215221014645;4238.5
110;51;52;26900.4;0.244411987277326;4571.5
111;52;51;27393.3;0.250013328870499;4898.5
112;52;53;40991.1;0.402447186008394;5054.5
113;53;52;40965.8;0.400747754399742;5088.5
114;53;54;23463.8;0.235287861205276;6166.5
115;54;53;23495.7;0.232928007060725;6648.5
116;54;57;2886.9;0.02652007770211;6445
117;55;56;10865;0.0976695913022633;4091.5
118;56;55;10649.7;0.0914259998473807;4707
119;56;57;10204.3;0.089171224712719;5043.5
120;57;54;3096.6;0.030373668707068;7327
121;57;56;9928.9;0.0869656584544566;5858
122;57;58;10862.4;0.104455424818793;6439
123;57;71;10618.8;0.103351986287389;6673
124;58;57;10886.7;0.10260656588095;6247
125;58;59;12018.8;0.116520842971;6479
126;59;58;12170.1;0.118520527347316;6256
127;59;60;11572;0.113258937079706;6158
128;60;59;11394.2;0.109737432298849;6140
129;60;61;15757.8;0.150873500514464;6836
130;61;60;15653.7;0.150374411995053;6643.5
131;61;62;15198.4;0.144994474217843;5474
132;62;61;15180.6;0.145371414720669;5202.5
133;62;63;3635.7;0.0344381603600451;6027
134;63;62;3849.2;0.0358968273775369;5164.5
135;63;64;10505.6;0.0945813522394778;4936.5
136;64;63;11491.6;0.10414215052789;5425.5
137;64;65;18746.1;0.174660294297901;6438.5
138;65;64;18580.3;0.173265923592502;6337.5
139;65;66;15012.7;0.136249325279579;7443
140;66;65;16152.8;0.151211620195989;6736.5
141;66;67;9735;0.0894157232046496;6617.5
142;67;66;8202.2;0.0778329690490123;6816
143;67;68;10363.9;0.0998989437946227;7350
144;68;67;10340.7;0.102558892875985;6816
145;68;69;10066.7;0.0987185366108787;8315.5
146;69;68;10311.5;0.10377705995945;7508
147;69;70;7146.3;0.0726794043613496;7245.5
148;69;72;4564.4;0.0481184281685686;4167
149;70;48;6828.2;0.061108887347578;6270
150;70;69;6582.4;0.0643423526936084;7643.5
151;70;71;7777.8;0.0753823684966828;7029.5
152;71;57;10260.6;0.0988525996842795;6814
153;71;70;7884.2;0.0753382158707239;6351.5
154;72;69;4561;0.044688250468124;5136.5
155;72;73;6344.9;0.0688243536741626;3587
156;73;72;4626.1;0.0438479468259046;3952.5
